run_id,repeat,system,query,concurrency,request_id,success,status,latency_ms,error
20260527-205309,1,spin,space,10,118,true,200,115.537,
20260527-205309,1,spin,space,10,119,true,200,116.624,
20260527-205309,1,spin,space,10,121,true,200,102.073,
20260527-205309,1,spin,space,10,120,true,200,109.868,
20260527-205309,1,spin,space,10,124,true,200,102.328,
20260527-205309,1,spin,space,10,123,true,200,118.113,
20260527-205309,1,spin,space,10,127,true,200,95.901,
20260527-205309,1,spin,space,10,122,true,200,132.725,
20260527-205309,1,spin,space,10,125,true,200,111.024,
20260527-205309,1,spin,space,10,126,true,200,114.238,
20260527-205309,1,spin,space,10,128,true,200,110.318,
20260527-205309,1,spin,space,10,129,true,200,95.386,
20260527-205309,1,spin,space,10,130,true,200,102.638,
20260527-205309,1,spin,space,10,131,true,200,115.404,
20260527-205309,1,spin,space,10,134,true,200,101.322,
20260527-205309,1,spin,space,10,135,true,200,103.382,
20260527-205309,1,spin,space,10,133,true,200,114.277,
20260527-205309,1,spin,space,10,132,true,200,123.308,
20260527-205309,1,spin,space,10,136,true,200,114.684,
20260527-205309,1,spin,space,10,137,true,200,116.578,
20260527-205309,1,spin,space,10,139,true,200,101.959,
20260527-205309,1,spin,space,10,138,true,200,121.110,
20260527-205309,1,spin,space,10,140,true,200,113.241,
20260527-205309,1,spin,space,10,141,true,200,117.420,
20260527-205309,1,spin,space,10,142,true,200,106.701,
20260527-205309,1,spin,space,10,145,true,200,101.883,
20260527-205309,1,spin,space,10,143,true,200,113.392,
20260527-205309,1,spin,space,10,146,true,200,102.378,
20260527-205309,1,spin,space,10,144,true,200,117.263,
20260527-205309,1,spin,space,10,147,true,200,104.533,
20260527-205309,1,spin,space,10,149,true,200,105.142,
20260527-205309,1,spin,space,10,148,true,200,128.403,
20260527-205309,1,spin,space,10,150,true,200,105.861,
20260527-205309,1,spin,space,10,152,true,200,104.418,
20260527-205309,1,spin,space,10,153,true,200,105.966,
20260527-205309,1,spin,space,10,151,true,200,115.983,
20260527-205309,1,spin,space,10,155,true,200,112.027,
20260527-205309,1,spin,space,10,156,true,200,111.667,
20260527-205309,1,spin,space,10,154,true,200,118.481,
20260527-205309,1,spin,space,10,157,true,200,114.980,
20260527-205309,1,spin,space,10,158,true,200,111.307,
20260527-205309,1,spin,space,10,159,true,200,119.965,
20260527-205309,1,spin,space,10,162,true,200,97.350,
20260527-205309,1,spin,space,10,160,true,200,131.408,
