system,query,concurrency,request_id,success,status,latency_ms,error
spin,,2,182,true,200,62.221,
spin,,2,184,true,200,49.534,
spin,,2,185,true,200,53.328,
spin,,2,186,true,200,45.071,
spin,,2,187,true,200,49.214,
spin,,2,188,true,200,43.191,
spin,,2,189,true,200,39.234,
spin,,2,190,true,200,32.017,
spin,,2,191,true,200,31.748,
spin,,2,192,true,200,31.765,
spin,,2,193,true,200,30.876,
spin,,2,194,true,200,30.603,
oci,space,2,196,true,200,21.115,
oci,space,2,195,true,200,40.294,
oci,space,2,197,true,200,40.400,
oci,space,2,198,true,200,39.821,
oci,space,2,199,true,200,36.295,
oci,space,2,200,true,200,35.964,
oci,space,2,201,true,200,35.973,
oci,space,2,202,true,200,35.983,
oci,space,2,203,true,200,35.548,
oci,space,2,204,true,200,35.474,
oci,space,2,205,true,200,36.882,
oci,space,2,206,true,200,36.715,
oci,space,2,207,true,200,35.750,
oci,space,2,208,true,200,35.905,
oci,space,2,209,true,200,35.635,
oci,space,2,210,true,200,35.962,
oci,space,2,211,true,200,36.745,
oci,space,2,212,true,200,37.030,
oci,space,2,213,true,200,36.764,
oci,space,2,214,true,200,36.890,
oci,space,2,215,true,200,37.217,
oci,space,2,216,true,200,36.991,
oci,space,2,217,true,200,36.723,
oci,space,2,218,true,200,36.048,
oci,space,2,219,true,200,35.693,
oci,space,2,220,true,200,35.643,
oci,space,2,221,true,200,35.456,
oci,space,2,222,true,200,35.870,
oci,space,2,223,true,200,35.890,
oci,space,2,224,true,200,35.682,
oci,space,2,225,true,200,35.501,
oci,space,2,226,true,200,35.644,
oci,space,2,227,true,200,35.990,
oci,space,2,228,true,200,35.535,
oci,space,2,229,true,200,35.354,
oci,space,2,230,true,200,35.492,
oci,space,2,231,true,200,35.442,
oci,space,2,232,true,200,35.490,
oci,space,2,233,true,200,35.438,
oci,space,2,234,true,200,35.391,
oci,space,2,235,true,200,35.409,
oci,space,2,236,true,200,35.606,
oci,space,2,237,true,200,35.490,
oci,space,2,238,true,200,35.709,
oci,space,2,239,true,200,36.050,
oci,space,2,240,true,200,35.842,
oci,space,2,241,true,200,35.967,
oci,space,2,242,true,200,36.645,
oci,space,2,243,true,200,36.821,
oci,space,2,244,true,200,37.955,
oci,space,2,245,true,200,39.287,
oci,space,2,246,true,200,39.372,
oci,space,2,247,true,200,38.804,
oci,space,2,248,true,200,38.594,
oci,space,2,249,true,200,38.855,
oci,space,2,250,true,200,40.727,
oci,space,2,251,true,200,41.316,
oci,space,2,252,true,200,40.331,
oci,space,2,253,true,200,38.675,
oci,space,2,254,true,200,36.919,
oci,space,2,255,true,200,36.710,
oci,space,2,256,true,200,39.909,
oci,space,2,257,true,200,39.761,
oci,space,2,258,true,200,35.904,
oci,space,2,259,true,200,35.985,
oci,space,2,260,true,200,35.997,
oci,space,2,261,true,200,35.533,
oci,space,2,262,true,200,35.479,
oci,space,2,263,true,200,35.789,
oci,space,2,264,true,200,35.666,
oci,space,2,265,true,200,35.623,
oci,space,2,266,true,200,35.741,
oci,space,2,267,true,200,35.681,
oci,space,2,268,true,200,35.617,
oci,space,2,269,true,200,35.680,
oci,space,2,270,true,200,36.051,
oci,space,2,271,true,200,36.140,
oci,space,2,272,true,200,35.882,
oci,space,2,273,true,200,36.007,
oci,space,2,274,true,200,38.575,
oci,space,2,275,true,200,45.019,
oci,space,2,276,true,200,45.663,
oci,space,2,277,true,200,39.508,
oci,space,2,278,true,200,36.303,
oci,space,2,279,true,200,36.056,
oci,space,2,280,true,200,36.121,
oci,space,2,281,true,200,36.072,
oci,space,2,282,true,200,35.979,
oci,space,2,283,true,200,36.186,
oci,space,2,284,true,200,36.460,
oci,space,2,285,true,200,36.362,
oci,space,2,286,true,200,36.228,
oci,space,2,287,true,200,36.421,
oci,space,2,288,true,200,36.054,
oci,space,2,289,true,200,35.651,
oci,space,2,290,true,200,35.951,
oci,space,2,291,true,200,36.100,
oci,space,2,292,true,200,36.127,
oci,space,2,293,true,200,35.898,
oci,space,2,294,true,200,35.840,
oci,space,2,295,true,200,36.315,
oci,space,2,296,true,200,36.717,
oci,space,2,297,true,200,36.572,
oci,space,2,298,true,200,36.262,
oci,space,2,299,true,200,36.876,
oci,space,2,300,true,200,37.470,
oci,space,2,301,true,200,36.656,
oci,space,2,302,true,200,36.122,
oci,space,2,303,true,200,36.235,
oci,space,2,304,true,200,36.167,
oci,space,2,305,true,200,36.009,
oci,space,2,306,true,200,36.019,
oci,space,2,307,true,200,35.990,
oci,space,2,308,true,200,35.949,
oci,space,2,309,true,200,36.056,
oci,space,2,310,true,200,36.098,
oci,space,2,311,true,200,36.082,
oci,space,2,312,true,200,36.310,
oci,space,2,313,true,200,36.889,
oci,space,2,314,true,200,37.155,
oci,space,2,315,true,200,36.947,
oci,space,2,316,true,200,36.641,
oci,space,2,317,true,200,36.530,
oci,space,2,318,true,200,36.678,
oci,space,2,319,true,200,36.617,
oci,space,2,320,true,200,36.653,
oci,space,2,321,true,200,36.916,
oci,space,2,322,true,200,36.755,
oci,space,2,323,true,200,36.453,
oci,space,2,324,true,200,36.369,
oci,space,2,325,true,200,36.596,
oci,space,2,326,true,200,36.772,
oci,space,2,327,true,200,36.596,
oci,space,2,328,true,200,36.209,
oci,space,2,329,true,200,36.149,
oci,space,2,330,true,200,36.821,
oci,space,2,331,true,200,37.220,
oci,space,2,332,true,200,38.480,
oci,space,2,333,true,200,38.448,
oci,space,2,334,true,200,36.664,
oci,space,2,335,true,200,36.378,
oci,space,2,336,true,200,36.144,
oci,space,2,337,true,200,35.689,
oci,space,2,338,true,200,35.804,
oci,space,2,339,true,200,36.458,
oci,space,2,340,true,200,37.045,
oci,space,2,341,true,200,36.531,
oci,space,2,342,true,200,35.887,
oci,space,2,343,true,200,35.819,
oci,space,2,344,true,200,35.901,
oci,space,2,345,true,200,36.123,
oci,space,2,346,true,200,35.941,
oci,space,2,347,true,200,35.779,
oci,space,2,348,true,200,35.887,
oci,space,2,349,true,200,36.001,
oci,space,2,350,true,200,36.078,
oci,space,2,351,true,200,36.327,
oci,space,2,352,true,200,36.962,
oci,space,2,353,true,200,39.032,
oci,space,2,354,true,200,41.017,
oci,space,2,355,true,200,41.190,
oci,space,2,356,true,200,39.566,
oci,space,2,357,true,200,38.663,
oci,space,2,358,true,200,39.098,
oci,,2,359,true,200,1.295,
oci,,2,360,true,200,1.322,
oci,,2,362,true,200,1.806,
oci,,2,361,true,200,2.072,
oci,,2,364,true,200,0.867,
oci,,2,363,true,200,1.176,
oci,,2,365,true,200,0.768,
oci,,2,366,true,200,0.718,
oci,,2,367,true,200,1.319,
oci,,2,368,true,200,1.320,
oci,,2,370,true,200,1.014,
oci,,2,369,true,200,1.300,
oci,,2,372,true,200,1.485,
oci,,2,371,true,200,1.909,
oci,,2,373,true,200,0.993,
oci,,2,374,true,200,0.969,
oci,,2,376,true,200,1.266,
oci,,2,375,true,200,1.696,
oci,,2,378,true,200,2.208,
oci,,2,377,true,200,2.587,
oci,,2,379,true,200,2.151,
oci,,2,380,true,200,2.157,
oci,,2,382,true,200,0.765,
oci,,2,381,true,200,1.029,
oci,,2,383,true,200,1.976,
oci,,2,384,true,200,1.988,
oci,,2,386,true,200,2.218,
oci,,2,385,true,200,2.439,
oci,,2,387,true,200,2.312,
oci,,2,388,true,200,2.347,
oci,,2,389,true,200,1.680,
oci,,2,390,true,200,1.611,
oci,,2,392,true,200,2.591,
oci,,2,391,true,200,2.759,
oci,,2,393,true,200,0.998,
oci,,2,394,true,200,1.046,
oci,,2,395,true,200,0.821,
oci,,2,396,true,200,0.792,
oci,,2,398,true,200,0.669,
oci,,2,397,true,200,0.889,
oci,,2,400,true,200,2.130,
oci,,2,399,true,200,2.318,
oci,,2,402,true,200,0.831,
oci,,2,401,true,200,1.017,
oci,,2,403,true,200,1.281,
oci,,2,404,true,200,1.276,
oci,,2,406,true,200,2.600,
oci,,2,405,true,200,2.857,
oci,,2,407,true,200,1.695,
oci,,2,408,true,200,1.752,
oci,,2,409,true,200,1.413,
oci,,2,410,true,200,1.357,
oci,,2,412,true,200,2.024,
oci,,2,411,true,200,2.329,
oci,,2,413,true,200,1.227,
oci,,2,414,true,200,1.235,
oci,,2,415,true,200,1.063,
oci,,2,416,true,200,1.260,
oci,,2,417,true,200,4.696,
oci,,2,418,true,200,4.688,
oci,,2,420,true,200,6.482,
oci,,2,419,true,200,7.436,
oci,,2,421,true,200,0.995,
oci,,2,422,true,200,1.143,
oci,,2,423,true,200,0.845,
oci,,2,424,true,200,1.177,
oci,,2,425,true,200,1.199,
oci,,2,426,true,200,0.742,
oci,,2,427,true,200,0.751,
oci,,2,428,true,200,0.585,
oci,,2,429,true,200,0.601,
oci,,2,430,true,200,0.659,
oci,,2,431,true,200,0.636,
oci,,2,432,true,200,1.055,
oci,,2,433,true,200,1.057,
oci,,2,434,true,200,0.664,
oci,,2,435,true,200,0.639,
oci,,2,437,true,200,0.512,
oci,,2,436,true,200,0.689,
oci,,2,438,true,200,1.674,
oci,,2,439,true,200,1.726,
oci,,2,440,true,200,1.056,
oci,,2,441,true,200,1.015,
oci,,2,442,true,200,0.871,
oci,,2,443,true,200,0.877,
oci,,2,444,true,200,0.564,
oci,,2,445,true,200,0.618,
oci,,2,446,true,200,1.597,
oci,,2,447,true,200,1.531,
oci,,2,449,true,200,0.552,
oci,,2,448,true,200,0.766,
oci,,2,450,true,200,0.636,
oci,,2,451,true,200,0.865,
oci,,2,452,true,200,1.582,
oci,,2,453,true,200,1.372,
oci,,2,454,true,200,0.618,
oci,,2,455,true,200,0.585,
oci,,2,456,true,200,0.623,
oci,,2,457,true,200,0.660,
oci,,2,458,true,200,0.644,
oci,,2,459,true,200,1.439,
oci,,2,460,true,200,1.095,
oci,,2,461,true,200,0.954,
oci,,2,462,true,200,0.970,
oci,,2,463,true,200,0.612,
oci,,2,464,true,200,0.642,
oci,,2,465,true,200,0.615,
oci,,2,466,true,200,0.537,
oci,,2,467,true,200,0.721,
oci,,2,468,true,200,0.740,
oci,,2,469,true,200,0.647,
oci,,2,470,true,200,0.625,
oci,,2,471,true,200,0.610,
oci,,2,472,true,200,0.684,
oci,,2,473,true,200,0.695,
oci,,2,474,true,200,0.583,
oci,,2,475,true,200,0.594,
oci,,2,476,true,200,0.622,
oci,,2,477,true,200,1.756,
oci,,2,478,true,200,1.739,
oci,,2,479,true,200,0.596,
oci,,2,480,true,200,0.647,
oci,,2,481,true,200,1.500,
oci,,2,482,true,200,1.446,
oci,,2,484,true,200,0.525,
oci,,2,483,true,200,0.718,
oci,,2,486,true,200,1.147,
oci,,2,485,true,200,1.332,
oci,,2,488,true,200,1.371,
oci,,2,487,true,200,1.605,
oci,,2,489,true,200,2.072,
oci,,2,490,true,200,2.026,
oci,,2,491,true,200,0.999,
oci,,2,492,true,200,0.984,
oci,,2,494,true,200,1.092,
oci,,2,493,true,200,1.278,
oci,,2,495,true,200,2.087,
oci,,2,496,true,200,2.090,
oci,,2,498,true,200,0.633,
oci,,2,497,true,200,0.809,
oci,,2,500,true,200,1.336,
oci,,2,499,true,200,1.508,
oci,,2,501,true,200,0.596,
oci,,2,502,true,200,0.603,
oci,,2,503,true,200,0.613,
oci,,2,504,true,200,0.612,
oci,,2,506,true,200,0.529,
oci,,2,505,true,200,0.703,
oci,,2,507,true,200,1.082,
oci,,2,508,true,200,1.107,
oci,,2,509,true,200,0.908,
oci,,2,510,true,200,0.885,
oci,,2,511,true,200,0.813,
oci,,2,512,true,200,0.818,
oci,,2,513,true,200,0.566,
oci,,2,514,true,200,0.573,
oci,,2,516,true,200,0.611,
oci,,2,515,true,200,0.829,
oci,,2,517,true,200,0.597,
oci,,2,518,true,200,0.614,
oci,,2,520,true,200,0.986,
oci,,2,519,true,200,1.213,
oci,,2,522,true,200,0.503,
oci,,2,521,true,200,0.687,
oci,,2,523,true,200,1.599,
oci,,2,524,true,200,1.610,
oci,,2,525,true,200,0.604,
oci,,2,526,true,200,0.643,
oci,,2,527,true,200,0.616,
oci,,2,528,true,200,0.571,
oci,,2,529,true,200,0.659,
oci,,2,530,true,200,0.650,
oci,,2,531,true,200,1.185,
oci,,2,532,true,200,1.202,
oci,,2,533,true,200,0.648,
oci,,2,534,true,200,0.743,
oci,,2,536,true,200,2.015,
oci,,2,535,true,200,2.292,
oci,,2,537,true,200,1.045,
oci,,2,538,true,200,1.048,
oci,,2,539,true,200,1.971,
oci,,2,540,true,200,2.001,
oci,,2,542,true,200,0.804,
oci,,2,541,true,200,1.015,
oci,,2,543,true,200,1.007,
oci,,2,544,true,200,1.003,
oci,,2,546,true,200,0.730,
oci,,2,545,true,200,0.903,
oci,,2,547,true,200,1.297,
oci,,2,548,true,200,1.305,
oci,,2,549,true,200,0.704,
oci,,2,550,true,200,0.711,
oci,,2,551,true,200,1.119,
oci,,2,552,true,200,1.160,
oci,,2,553,true,200,2.055,
oci,,2,554,true,200,2.010,
oci,,2,555,true,200,1.139,
oci,,2,556,true,200,1.134,
oci,,2,557,true,200,0.555,
oci,,2,558,true,200,0.592,
oci,,2,559,true,200,1.480,
oci,,2,560,true,200,1.440,
oci,,2,561,true,200,0.618,
oci,,2,562,true,200,0.727,
oci,,2,564,true,200,1.067,
oci,,2,563,true,200,1.362,
oci,,2,565,true,200,1.011,
oci,,2,566,true,200,0.989,
oci,,2,567,true,200,0.591,
oci,,2,568,true,200,0.670,
oci,,2,569,true,200,1.350,
oci,,2,570,true,200,1.387,
oci,,2,571,true,200,0.894,
oci,,2,572,true,200,0.827,
oci,,2,573,true,200,0.732,
oci,,2,574,true,200,0.710,
oci,,2,575,true,200,0.684,
oci,,2,576,true,200,0.659,
oci,,2,577,true,200,1.618,
oci,,2,578,true,200,1.636,
oci,,2,579,true,200,0.762,
oci,,2,580,true,200,0.764,
oci,,2,582,true,200,1.018,
oci,,2,581,true,200,1.207,
oci,,2,583,true,200,1.212,
oci,,2,584,true,200,1.215,
oci,,2,585,true,200,0.649,
oci,,2,586,true,200,0.649,
oci,,2,588,true,200,1.020,
oci,,2,587,true,200,1.210,
oci,,2,590,true,200,0.870,
oci,,2,589,true,200,1.060,
oci,,2,591,true,200,0.649,
oci,,2,592,true,200,0.663,
oci,,2,593,true,200,1.485,
oci,,2,594,true,200,1.460,
oci,,2,595,true,200,0.647,
oci,,2,596,true,200,0.734,
oci,,2,597,true,200,0.618,
oci,,2,598,true,200,0.630,
oci,,2,599,true,200,0.595,
oci,,2,600,true,200,0.576,
oci,,2,601,true,200,0.647,
oci,,2,602,true,200,0.615,
oci,,2,603,true,200,0.621,
oci,,2,604,true,200,0.665,
oci,,2,605,true,200,1.853,
oci,,2,606,true,200,1.768,
oci,,2,608,true,200,0.860,
oci,,2,607,true,200,1.026,
oci,,2,610,true,200,0.768,
oci,,2,609,true,200,0.933,
oci,,2,612,true,200,0.556,
oci,,2,611,true,200,0.737,
oci,,2,613,true,200,1.611,
oci,,2,614,true,200,1.652,
oci,,2,615,true,200,0.689,
oci,,2,616,true,200,0.693,
oci,,2,617,true,200,1.300,
oci,,2,618,true,200,1.247,
oci,,2,619,true,200,1.016,
oci,,2,620,true,200,1.045,
oci,,2,621,true,200,0.581,
oci,,2,622,true,200,0.543,
oci,,2,623,true,200,0.666,
oci,,2,624,true,200,0.677,
oci,,2,626,true,200,0.559,
oci,,2,625,true,200,0.756,
oci,,2,628,true,200,0.527,
oci,,2,627,true,200,0.728,
oci,,2,629,true,200,0.593,
oci,,2,630,true,200,0.583,
oci,,2,632,true,200,1.740,
oci,,2,631,true,200,1.904,
oci,,2,633,true,200,1.004,
oci,,2,634,true,200,1.004,
oci,,2,635,true,200,0.701,
oci,,2,636,true,200,0.713,
oci,,2,638,true,200,1.226,
oci,,2,637,true,200,1.450,
oci,,2,639,true,200,0.922,
oci,,2,640,true,200,0.887,
oci,,2,641,true,200,0.617,
oci,,2,642,true,200,0.737,
oci,,2,643,true,200,1.258,
oci,,2,644,true,200,1.211,
oci,,2,645,true,200,0.598,
oci,,2,646,true,200,1.929,
oci,,2,647,true,200,1.699,
oci,,2,649,true,200,0.834,
