system,scenario,iteration,success,ready_ms,search_after_ready_ms,total_cold_path_ms,first_search_ms,error
spin,health_plus_search,1,true,49.654,66.199,365.139,365.139,
spin,health_plus_search,2,true,34.344,79.459,194.651,194.651,
spin,health_plus_search,3,true,30.904,62.218,173.800,173.800,
spin,health_plus_search,4,true,30.788,62.437,165.843,165.843,
spin,health_plus_search,5,true,31.917,66.614,171.447,171.447,
spin,health_plus_search,6,true,31.696,71.619,181.930,181.930,
spin,health_plus_search,7,true,44.007,72.812,220.126,220.126,
spin,health_plus_search,8,true,30.956,62.213,166.907,166.907,
spin,health_plus_search,9,true,30.792,86.220,192.220,192.220,
spin,health_plus_search,10,true,56.233,113.787,422.498,422.498,
spin,health_plus_search,11,true,41.892,61.680,226.194,226.194,
spin,health_plus_search,12,true,30.417,62.591,166.552,166.552,
spin,health_plus_search,13,true,30.579,62.476,166.827,166.827,
spin,health_plus_search,14,true,30.234,61.469,164.552,164.552,
spin,health_plus_search,15,true,30.111,61.621,165.945,165.945,
spin,health_plus_search,16,true,38.383,72.119,191.753,191.753,
spin,health_plus_search,17,true,31.493,62.070,182.729,182.729,
spin,health_plus_search,18,true,30.411,61.946,165.294,165.294,
spin,health_plus_search,19,true,30.530,62.841,170.160,170.160,
spin,health_plus_search,20,true,30.236,62.484,167.972,167.972,
oci,health_plus_search,1,true,30.061,19.362,1702.428,1702.428,
oci,health_plus_search,2,true,19.780,19.347,1549.072,1549.072,
oci,health_plus_search,3,true,20.421,19.320,1571.680,1571.680,
oci,health_plus_search,4,true,33.836,19.374,1818.784,1818.784,
oci,health_plus_search,5,true,33.494,19.984,1695.253,1695.253,
oci,health_plus_search,6,true,18.648,19.651,1560.172,1560.172,
oci,health_plus_search,7,true,19.414,19.510,1604.044,1604.044,
oci,health_plus_search,8,true,31.021,18.969,2696.305,2696.305,
oci,health_plus_search,9,true,30.355,20.198,1704.672,1704.672,
oci,health_plus_search,10,true,18.796,19.325,1484.303,1484.303,
oci,health_plus_search,11,true,21.676,19.380,1562.930,1562.930,
oci,health_plus_search,12,true,28.060,19.503,1518.633,1518.633,
oci,health_plus_search,13,true,18.911,20.564,1710.296,1710.296,
oci,health_plus_search,14,true,31.682,21.405,1559.663,1559.663,
oci,health_plus_search,15,true,19.857,19.956,1535.752,1535.752,
oci,health_plus_search,16,true,34.836,22.079,1590.814,1590.814,
oci,health_plus_search,17,true,21.128,19.297,1517.510,1517.510,
oci,health_plus_search,18,true,43.084,20.984,2035.654,2035.654,
oci,health_plus_search,19,true,27.537,23.683,1921.090,1921.090,
oci,health_plus_search,20,true,21.382,19.036,1690.181,1690.181,
