system,phase,timestamp_ms,memory_bytes,source
spin,idle,1780139385260,120209408,host_process_rss
spin,idle,1780139386298,120209408,host_process_rss
spin,idle,1780139387331,62619648,host_process_rss
spin,idle,1780139388362,59588608,host_process_rss
spin,idle,1780139389404,59588608,host_process_rss
spin,idle,1780139390449,59588608,host_process_rss
spin,idle,1780139391487,59588608,host_process_rss
spin,idle,1780139392536,59588608,host_process_rss
spin,idle,1780139393583,59588608,host_process_rss
spin,idle,1780139394630,59588608,host_process_rss
spin,load,1780139395760,84770816,host_process_rss
spin,load,1780139396801,579616768,host_process_rss
spin,load,1780139397848,511066112,host_process_rss
spin,load,1780139398897,530464768,host_process_rss
spin,load,1780139399942,532004864,host_process_rss
spin,load,1780139400989,580354048,host_process_rss
spin,load,1780139402112,580517888,host_process_rss
spin,load,1780139403153,528564224,host_process_rss
spin,load,1780139404189,542457856,host_process_rss
spin,load,1780139405266,580927488,host_process_rss
spin,load,1780139406356,509526016,host_process_rss
spin,load,1780139407391,564936704,host_process_rss
spin,load,1780139408436,560693248,host_process_rss
spin,load,1780139409487,512294912,host_process_rss
spin,load,1780139410564,541474816,host_process_rss
spin,load,1780139411629,544210944,host_process_rss
spin,load,1780139412686,550387712,host_process_rss
spin,load,1780139413766,550371328,host_process_rss
spin,load,1780139414816,567508992,host_process_rss
spin,load,1780139415881,567590912,host_process_rss
spin,load,1780139416936,470679552,host_process_rss
spin,load,1780139417992,533921792,host_process_rss
spin,load,1780139419025,567721984,host_process_rss
spin,load,1780139420163,562348032,host_process_rss
spin,load,1780139421210,552009728,host_process_rss
spin,load,1780139422290,534790144,host_process_rss
spin,load,1780139423347,547160064,host_process_rss
spin,load,1780139424385,567377920,host_process_rss
spin,load,1780139425431,557858816,host_process_rss
oci,idle,1780139434439,36322672,docker_stats
oci,idle,1780139437074,36322672,docker_stats
oci,idle,1780139439685,36322672,docker_stats
oci,idle,1780139442301,36322672,docker_stats
oci,load,1780139444909,38923141,docker_stats
oci,load,1780139447490,39258685,docker_stats
oci,load,1780139450072,38849740,docker_stats
oci,load,1780139452676,39132856,docker_stats
oci,load,1780139455251,38671482,docker_stats
oci,load,1780139457932,38608568,docker_stats
oci,load,1780139460517,39048970,docker_stats
oci,load,1780139463097,38944112,docker_stats
oci,load,1780139465672,38954598,docker_stats
oci,load,1780139468245,38734397,docker_stats
oci,load,1780139470826,38503710,docker_stats
oci,load,1780139473399,39038484,docker_stats
