service,scenario,concurrency,request_no,status,bytes,latency_ms,error
docker,health,5,46,200,22,1.726500,
docker,health,5,47,200,22,2.293500,
docker,health,5,48,200,22,1.942600,
docker,health,5,49,200,22,1.875700,
docker,health,5,50,200,22,1.902200,
docker,health,5,51,200,22,1.765800,
docker,health,5,52,200,22,1.722400,
docker,health,5,53,200,22,1.634800,
docker,health,5,54,200,22,3.684300,
docker,health,5,55,200,22,3.975900,
docker,health,5,56,200,22,3.896100,
docker,health,5,57,200,22,1.963700,
docker,health,5,58,200,22,1.619900,
docker,health,5,59,200,22,2.029500,
docker,health,5,60,200,22,1.867900,
docker,health,5,61,200,22,25.584300,
docker,health,5,62,200,22,22.867900,
docker,health,5,63,200,22,1.648800,
docker,health,5,64,200,22,2.014900,
docker,health,5,65,200,22,1.834500,
docker,health,5,66,200,22,2.261500,
docker,health,5,67,200,22,2.346700,
docker,health,5,68,200,22,2.179000,
docker,health,5,69,200,22,1.793800,
docker,health,5,70,200,22,2.014500,
docker,health,5,71,200,22,1.810800,
docker,health,5,72,200,22,2.461300,
docker,health,5,73,200,22,1.754300,
docker,health,5,74,200,22,1.779700,
docker,health,5,75,200,22,2.055400,
docker,health,5,76,200,22,1.704600,
docker,health,5,77,200,22,2.076100,
docker,health,5,78,200,22,1.469100,
docker,health,5,79,200,22,1.306000,
docker,health,5,80,200,22,1.990300,
docker,health,5,81,200,22,1.493600,
docker,health,5,82,200,22,1.532100,
docker,health,5,83,200,22,1.780400,
docker,health,5,84,200,22,1.623400,
docker,health,5,85,200,22,1.668400,
docker,health,5,86,200,22,1.836000,
docker,health,5,87,200,22,1.868300,
docker,health,5,88,200,22,2.014900,
docker,health,5,89,200,22,2.387500,
docker,health,5,90,200,22,1.858100,
docker,health,5,91,200,22,1.676800,
docker,health,5,92,200,22,1.900200,
docker,health,5,93,200,22,1.712400,
docker,health,5,94,200,22,2.466300,
docker,health,5,95,200,22,12.680700,
docker,health,5,96,200,22,2.111000,
docker,health,5,97,200,22,2.246500,
docker,health,5,98,200,22,1.854600,
docker,health,5,99,200,22,2.103700,
docker,health,5,100,200,22,18.882000,
docker,health,10,1,200,22,5.983400,
docker,health,10,2,200,22,6.041800,
docker,health,10,3,200,22,5.928100,
docker,health,10,4,200,22,5.934600,
docker,health,10,5,200,22,6.686200,
docker,health,10,6,200,22,5.901000,
docker,health,10,7,200,22,5.836600,
docker,health,10,8,200,22,6.693800,
docker,health,10,9,200,22,6.689800,
docker,health,10,10,200,22,7.544800,
docker,health,10,11,200,22,2.132800,
docker,health,10,12,200,22,2.981500,
docker,health,10,13,200,22,4.041700,
docker,health,10,14,200,22,3.123300,
docker,health,10,15,200,22,5.219500,
docker,health,10,16,200,22,3.403500,
docker,health,10,17,200,22,2.168200,
docker,health,10,18,200,22,3.515300,
docker,health,10,19,200,22,3.127500,
docker,health,10,20,200,22,3.990700,
docker,health,10,21,200,22,5.410000,
docker,health,10,22,200,22,4.748900,
docker,health,10,23,200,22,2.757700,
docker,health,10,24,200,22,3.188800,
docker,health,10,25,200,22,2.375300,
docker,health,10,26,200,22,2.611100,
docker,health,10,27,200,22,3.980000,
docker,health,10,28,200,22,3.383500,
docker,health,10,29,200,22,3.879300,
docker,health,10,30,200,22,4.064500,
docker,health,10,31,200,22,2.879600,
docker,health,10,32,200,22,2.811200,
docker,health,10,33,200,22,2.607700,
docker,health,10,34,200,22,2.465200,
docker,health,10,35,200,22,4.422800,
docker,health,10,36,200,22,4.502600,
docker,health,10,37,200,22,3.254200,
docker,health,10,38,200,22,3.519100,
docker,health,10,39,200,22,4.387800,
docker,health,10,40,200,22,3.957700,
docker,health,10,41,200,22,3.806400,
docker,health,10,42,200,22,3.205700,
docker,health,10,43,200,22,4.001500,
docker,health,10,44,200,22,2.526600,
docker,health,10,45,200,22,2.668200,
docker,health,10,46,200,22,2.660800,
docker,health,10,47,200,22,2.510600,
docker,health,10,48,200,22,1.691700,
docker,health,10,49,200,22,3.179300,
docker,health,10,50,200,22,4.513300,
docker,health,10,51,200,22,2.615900,
docker,health,10,52,200,22,4.142400,
docker,health,10,53,200,22,3.853500,
docker,health,10,54,200,22,4.272700,
docker,health,10,55,200,22,2.753700,
docker,health,10,56,200,22,4.571500,
docker,health,10,57,200,22,4.272000,
docker,health,10,58,200,22,3.034400,
docker,health,10,59,200,22,4.434100,
docker,health,10,60,200,22,4.063700,
docker,health,10,61,200,22,5.945600,
docker,health,10,62,200,22,19.284900,
docker,health,10,63,200,22,4.228200,
docker,health,10,64,200,22,4.208900,
docker,health,10,65,200,22,3.720100,
docker,health,10,66,200,22,3.963500,
docker,health,10,67,200,22,2.547500,
docker,health,10,68,200,22,3.872200,
docker,health,10,69,200,22,3.037000,
docker,health,10,70,200,22,2.688700,
docker,health,10,71,200,22,4.142300,
docker,health,10,72,200,22,2.748800,
docker,health,10,73,200,22,5.247400,
docker,health,10,74,200,22,2.814000,
docker,health,10,75,200,22,3.513200,
docker,health,10,76,200,22,4.959600,
docker,health,10,77,200,22,3.336300,
docker,health,10,78,200,22,2.828400,
docker,health,10,79,200,22,2.582000,
docker,health,10,80,200,22,3.202900,
docker,health,10,81,200,22,4.387100,
docker,health,10,82,200,22,2.227800,
docker,health,10,83,200,22,3.182300,
docker,health,10,84,200,22,3.944200,
docker,health,10,85,200,22,2.713400,
docker,health,10,86,200,22,5.274300,
docker,health,10,87,200,22,3.053200,
docker,health,10,88,200,22,3.915000,
docker,health,10,89,200,22,3.165500,
docker,health,10,90,200,22,5.358100,
docker,health,10,91,200,22,5.755200,
docker,health,10,92,200,22,4.451200,
docker,health,10,93,200,22,7.478800,
docker,health,10,94,200,22,8.921700,
docker,health,10,95,200,22,6.817700,
docker,health,10,96,200,22,7.899100,
docker,health,10,97,200,22,8.192700,
docker,health,10,98,200,22,8.925700,
docker,health,10,99,200,22,8.347600,
docker,health,10,100,200,22,4.590700,
docker,health,25,1,200,22,4.836300,
docker,health,25,2,200,22,3.860400,
docker,health,25,3,200,22,3.873900,
docker,health,25,4,200,22,3.987900,
docker,health,25,5,200,22,6.822200,
docker,health,25,6,200,22,6.587000,
docker,health,25,7,200,22,3.675900,
docker,health,25,8,200,22,4.777800,
docker,health,25,9,200,22,3.036700,
docker,health,25,10,200,22,2.714600,
docker,health,25,11,200,22,6.129400,
docker,health,25,12,200,22,5.712000,
docker,health,25,13,200,22,5.377600,
docker,health,25,14,200,22,4.011700,
docker,health,25,15,200,22,3.891300,
docker,health,25,16,200,22,4.587700,
docker,health,25,17,200,22,3.266300,
docker,health,25,18,200,22,5.808200,
docker,health,25,19,200,22,3.733600,
docker,health,25,20,200,22,3.082900,
