service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
spin,health,1,100,100,0,873.8152999976592,114.44066040073673,1.1071,8.697069,2.80715,16.4569,21.4777,26.1704,27.7966,27
spin,health,5,100,100,0,155.78350000214414,641.9165059112399,0.9389,7.665868,1.8415,23.8236,29.0413,32.1936,33.0421,27
spin,health,10,100,100,0,60.88079999972251,1642.5539743310828,1.5045,4.106626,3.13345,4.9842,14.3341,22.8955,24.2531,27
spin,health,25,100,100,0,35.94829999929061,2781.7727125336487,2.9562,7.227769,7.12115,9.1576,9.797,10.4715,16.3752,27
spin,health,50,100,100,0,31.836400001338916,3141.0586622794785,1.5975,4.753597,4.66955,6.3842,6.9126,7.4069,8.1439,27
