service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
docker,health,1,100,100,0,611.6656000012881,163.48802352100464,1.0882,6.058478,2.13905,17.8897,24.4459,27.0868,27.5237,22
docker,health,5,100,100,0,74.5987000009336,1340.5059337327393,1.306,3.019718,2.0149,3.5236,5.1683,22.8679,25.5843,22
docker,health,10,100,100,0,47.609100001864135,2100.4387815792466,1.6917,4.344019,3.9509499999999997,6.6898,7.8991,8.9257,19.2849,22
docker,health,25,100,100,0,45.153400002163835,2214.6726491295854,2.7146,6.897591,6.23125,10.008,10.9535,13.4911,15.0651,22
docker,health,50,100,100,0,50.17940000107046,1992.8496553937816,2.3079,5.802213,5.5168,8.1416,10.0447,11.0029,20.3818,22
