service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
spin,image-grayscale,1,100,100,0,5733.536599997024,17.44124211225091,31.5081,57.259089,57.23995,71.1348,75.6237,79.8148,85.1611,26277
spin,image-grayscale,5,100,100,0,1221.1868000013055,81.88755397609366,30.1929,59.760527,60.141949999999994,73.9499,76.8949,80.3118,81.0026,26277
spin,image-grayscale,10,100,100,0,619.4146999987424,161.44272972566364,33.2417,59.032207,56.89375,73.3091,75.5176,77.111,77.5523,26277
spin,image-grayscale,25,100,100,0,406.8202000016754,245.80883643336335,59.2058,89.80493,82.44534999999999,120.0426,121.5356,124.8251,127.5353,26277
spin,image-grayscale,50,100,100,0,418.35030000220286,239.03413000892658,61.3822,146.04994,140.72275000000002,203.5697,227.8296,242.2601,242.3283,26277
