service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,image-resize,5,21,200,22304,132.123600,
spin,image-resize,5,22,200,22304,103.423500,
spin,image-resize,5,23,200,22304,97.478900,
spin,image-resize,5,24,200,22304,124.747900,
spin,image-resize,5,25,200,22304,130.628200,
spin,image-resize,5,26,200,22304,105.913000,
spin,image-resize,5,27,200,22304,123.531900,
spin,image-resize,5,28,200,22304,118.323500,
spin,image-resize,5,29,200,22304,127.552000,
spin,image-resize,5,30,200,22304,137.883600,
spin,image-resize,5,31,200,22304,136.187600,
spin,image-resize,5,32,200,22304,126.534100,
spin,image-resize,5,33,200,22304,154.154100,
spin,image-resize,5,34,200,22304,112.715100,
spin,image-resize,5,35,200,22304,120.294900,
spin,image-resize,5,36,200,22304,108.268600,
spin,image-resize,5,37,200,22304,136.059000,
spin,image-resize,5,38,200,22304,142.785500,
spin,image-resize,5,39,200,22304,116.930400,
spin,image-resize,5,40,200,22304,122.293500,
spin,image-resize,5,41,200,22304,124.497800,
spin,image-resize,5,42,200,22304,81.239600,
spin,image-resize,5,43,200,22304,119.095700,
spin,image-resize,5,44,200,22304,145.182600,
spin,image-resize,5,45,200,22304,151.776300,
spin,image-resize,5,46,200,22304,101.309500,
spin,image-resize,5,47,200,22304,137.469800,
spin,image-resize,5,48,200,22304,141.199700,
spin,image-resize,5,49,200,22304,90.636700,
spin,image-resize,5,50,200,22304,99.692900,
spin,image-resize,5,51,200,22304,102.298600,
spin,image-resize,5,52,200,22304,91.298600,
spin,image-resize,5,53,200,22304,117.128700,
spin,image-resize,5,54,200,22304,115.196300,
spin,image-resize,5,55,200,22304,116.165500,
spin,image-resize,5,56,200,22304,132.029500,
spin,image-resize,5,57,200,22304,90.698400,
spin,image-resize,5,58,200,22304,132.053600,
spin,image-resize,5,59,200,22304,119.171600,
spin,image-resize,5,60,200,22304,143.749900,
spin,image-resize,5,61,200,22304,131.693700,
spin,image-resize,5,62,200,22304,140.584100,
spin,image-resize,5,63,200,22304,135.432500,
spin,image-resize,5,64,200,22304,138.010900,
spin,image-resize,5,65,200,22304,113.732400,
spin,image-resize,5,66,200,22304,105.971500,
spin,image-resize,5,67,200,22304,133.020800,
spin,image-resize,5,68,200,22304,108.504500,
spin,image-resize,5,69,200,22304,108.947100,
