service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
spin,image-metadata,1,100,100,0,3734.3046000023605,26.778747507618096,12.7269,37.267945,38.16645,49.1859,53.975,57.7093,58.1133,55
spin,image-metadata,5,100,100,0,623.3076999997138,160.43440502988477,12.7428,30.560059,33.081199999999995,45.4771,46.7519,47.7231,47.7527,55
spin,image-metadata,10,100,100,0,265.3165000010631,376.90833400711716,12.3094,24.951498,21.938850000000002,37.6215,40.1386,45.7063,47.1357,55
spin,image-metadata,25,100,100,0,172.3740999987058,580.1335583521586,24.8854,36.544224,33.25555,47.5411,48.8675,49.313,53.802,55
spin,image-metadata,50,100,100,0,169.25999999875785,590.8070424242815,24.3262,44.882197,45.7143,69.0271,73.5133,80.9018,82.2417,55
