service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
spin,json-to-csv,1,100,100,0,1177.7627000010398,84.90674734385094,1.108,11.733466,14.486650000000001,17.4126,25.1638,26.7611,27.8471,65
spin,json-to-csv,5,100,100,0,108.79120000026887,919.1919934677883,1.0512,4.944374,2.36095,17.015,20.7228,24.8761,25.7475,65
spin,json-to-csv,10,100,100,0,44.08729999704519,2268.2269044986238,1.3669,3.502131,3.10655,5.1299,5.3155,6.2541,20.1851,65
spin,json-to-csv,25,100,100,0,30.90650000012829,3235.5653341395796,1.7412,5.289047,5.1003,7.8936,8.4276,9.1383,9.3166,65
spin,json-to-csv,50,100,100,0,34.27970000120695,2917.1783882729173,2.2577,4.442849,4.4144,5.7145,6.4181,6.9129,6.9301,65
