service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
spin,csv-to-json,1,100,100,0,1249.3882999988273,80.03916796731157,1.4428,12.438649,14.965150000000001,16.8493,17.5824,25.84,27.0674,197
spin,csv-to-json,5,100,100,0,151.85009999913746,658.5441827207754,1.056,6.915613,2.1601,22.5323,24.8903,28.2028,29.7194,197
spin,csv-to-json,10,100,100,0,37.8792000010435,2639.9712770397787,1.3758,3.489523,3.3175,4.3914,4.8597,15.472,17.5471,197
spin,csv-to-json,25,100,100,0,36.09589999905438,2770.397746076971,1.7865,5.495006,5.4003499999999995,7.2425,7.8945,9.1177,14.1431,197
spin,csv-to-json,50,100,100,0,34.31239999918034,2914.3982933979787,3.1195,4.986345,4.63835,6.3379,6.8199,7.3055,16.7704,197
