service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
spin,image-resize,1,100,100,0,11191.480099998444,8.935368611343366,72.1022,111.836978,108.10525000000001,133.2959,151.7681,170.2456,181.4188,22304
spin,image-resize,5,100,100,0,2505.5915000011737,39.91073564862954,71.6283,123.92008,127.43100000000001,143.7499,146.3304,151.7763,154.1541,22304
spin,image-resize,10,100,100,0,1400.171400000545,71.41982760107875,104.688,135.2666,134.95875,151.2351,154.5719,157.2425,159.2722,22304
spin,image-resize,25,100,100,0,1216.2622999967425,82.21910684912936,146.0366,271.721208,271.20349999999996,354.8326,356.3508,390.0225,451.1329,22304
spin,image-resize,50,100,100,0,1195.185799999308,83.6689994141981,162.5754,483.505844,461.8736,756.4935,798.882,999.6913,1033.4908,22304
