service,scenario,concurrency,request_no,status,bytes,latency_ms,error
spin,validate-json,5,26,200,39,1.353500,
spin,validate-json,5,27,200,39,1.119500,
spin,validate-json,5,28,200,39,1.143900,
spin,validate-json,5,29,200,39,1.331100,
spin,validate-json,5,30,200,39,1.187300,
spin,validate-json,5,31,200,39,1.031500,
spin,validate-json,5,32,200,39,1.084400,
spin,validate-json,5,33,200,39,1.105100,
spin,validate-json,5,34,200,39,19.446700,
spin,validate-json,5,35,200,39,20.197400,
spin,validate-json,5,36,200,39,14.453600,
spin,validate-json,5,37,200,39,19.700900,
spin,validate-json,5,38,200,39,27.045400,
spin,validate-json,5,39,200,39,1.670700,
spin,validate-json,5,40,200,39,2.664400,
spin,validate-json,5,41,200,39,1.967900,
spin,validate-json,5,42,200,39,2.341600,
spin,validate-json,5,43,200,39,1.689000,
spin,validate-json,5,44,200,39,1.397500,
spin,validate-json,5,45,200,39,0.991900,
spin,validate-json,5,46,200,39,13.830600,
spin,validate-json,5,47,200,39,13.911400,
spin,validate-json,5,48,200,39,12.679400,
spin,validate-json,5,49,200,39,1.157000,
spin,validate-json,5,50,200,39,1.080500,
spin,validate-json,5,51,200,39,1.055000,
spin,validate-json,5,52,200,39,27.366600,
spin,validate-json,5,53,200,39,26.725500,
spin,validate-json,5,54,200,39,18.181400,
spin,validate-json,5,55,200,39,17.262000,
spin,validate-json,5,56,200,39,2.508300,
spin,validate-json,5,57,200,39,2.607200,
spin,validate-json,5,58,200,39,3.252400,
spin,validate-json,5,59,200,39,3.234300,
spin,validate-json,5,60,200,39,1.317200,
spin,validate-json,5,61,200,39,1.301900,
spin,validate-json,5,62,200,39,1.179600,
spin,validate-json,5,63,200,39,24.998400,
spin,validate-json,5,64,200,39,1.137300,
spin,validate-json,5,65,200,39,1.079600,
spin,validate-json,5,66,200,39,21.618700,
spin,validate-json,5,67,200,39,24.407700,
spin,validate-json,5,68,200,39,27.472500,
spin,validate-json,5,69,200,39,25.999900,
spin,validate-json,5,70,200,39,15.921200,
spin,validate-json,5,71,200,39,1.862800,
spin,validate-json,5,72,200,39,2.118600,
spin,validate-json,5,73,200,39,2.701300,
spin,validate-json,5,74,200,39,2.350800,
spin,validate-json,5,75,200,39,1.876700,
spin,validate-json,5,76,200,39,1.821400,
spin,validate-json,5,77,200,39,2.013700,
spin,validate-json,5,78,200,39,1.817900,
spin,validate-json,5,79,200,39,1.312600,
spin,validate-json,5,80,200,39,1.360500,
spin,validate-json,5,81,200,39,2.466300,
spin,validate-json,5,82,200,39,1.313300,
spin,validate-json,5,83,200,39,2.178100,
spin,validate-json,5,84,200,39,1.410200,
spin,validate-json,5,85,200,39,1.828700,
spin,validate-json,5,86,200,39,2.352400,
spin,validate-json,5,87,200,39,2.006200,
spin,validate-json,5,88,200,39,2.414400,
spin,validate-json,5,89,200,39,1.373200,
spin,validate-json,5,90,200,39,2.293500,
