service,scenario,concurrency,request_no,status,bytes,latency_ms,error
docker,image-grayscale,5,11,200,26277,5.718800,
docker,image-grayscale,5,12,200,26277,4.006300,
docker,image-grayscale,5,13,200,26277,3.946100,
docker,image-grayscale,5,14,200,26277,3.816700,
docker,image-grayscale,5,15,200,26277,3.960300,
docker,image-grayscale,5,16,200,26277,4.029300,
docker,image-grayscale,5,17,200,26277,3.827400,
docker,image-grayscale,5,18,200,26277,4.291100,
docker,image-grayscale,5,19,200,26277,4.883900,
docker,image-grayscale,5,20,200,26277,25.035000,
docker,image-grayscale,5,21,200,26277,17.016500,
docker,image-grayscale,5,22,200,26277,5.140700,
docker,image-grayscale,5,23,200,26277,5.198000,
docker,image-grayscale,5,24,200,26277,5.063400,
docker,image-grayscale,5,25,200,26277,5.083700,
docker,image-grayscale,5,26,200,26277,4.725500,
docker,image-grayscale,5,27,200,26277,4.349200,
docker,image-grayscale,5,28,200,26277,4.213200,
docker,image-grayscale,5,29,200,26277,3.945900,
docker,image-grayscale,5,30,200,26277,4.810300,
docker,image-grayscale,5,31,200,26277,23.479100,
docker,image-grayscale,5,32,200,26277,3.624900,
docker,image-grayscale,5,33,200,26277,3.818300,
docker,image-grayscale,5,34,200,26277,3.623700,
docker,image-grayscale,5,35,200,26277,3.809100,
docker,image-grayscale,5,36,200,26277,3.638400,
docker,image-grayscale,5,37,200,26277,4.081100,
docker,image-grayscale,5,38,200,26277,24.860000,
docker,image-grayscale,5,39,200,26277,20.893100,
docker,image-grayscale,5,40,200,26277,19.271300,
docker,image-grayscale,5,41,200,26277,4.693200,
docker,image-grayscale,5,42,200,26277,3.921600,
docker,image-grayscale,5,43,200,26277,6.345000,
docker,image-grayscale,5,44,200,26277,6.655100,
docker,image-grayscale,5,45,200,26277,4.041800,
docker,image-grayscale,5,46,200,26277,4.151900,
docker,image-grayscale,5,47,200,26277,3.960100,
docker,image-grayscale,5,48,200,26277,3.729000,
docker,image-grayscale,5,49,200,26277,3.741400,
docker,image-grayscale,5,50,200,26277,25.008800,
docker,image-grayscale,5,51,200,26277,4.376400,
docker,image-grayscale,5,52,200,26277,25.695500,
docker,image-grayscale,5,53,200,26277,24.066300,
docker,image-grayscale,5,54,200,26277,21.429200,
docker,image-grayscale,5,55,200,26277,18.858100,
docker,image-grayscale,5,56,200,26277,16.372400,
docker,image-grayscale,5,57,200,26277,5.865500,
docker,image-grayscale,5,58,200,26277,4.450400,
docker,image-grayscale,5,59,200,26277,4.120400,
docker,image-grayscale,5,60,200,26277,3.813300,
docker,image-grayscale,5,61,200,26277,4.358700,
docker,image-grayscale,5,62,200,26277,8.213800,
docker,image-grayscale,5,63,200,26277,8.371700,
docker,image-grayscale,5,64,200,26277,4.636700,
docker,image-grayscale,5,65,200,26277,4.322500,
docker,image-grayscale,5,66,200,26277,5.793800,
docker,image-grayscale,5,67,200,26277,30.011300,
docker,image-grayscale,5,68,200,26277,28.205900,
docker,image-grayscale,5,69,200,26277,28.340100,
docker,image-grayscale,5,70,200,26277,5.773100,
docker,image-grayscale,5,71,200,26277,4.419400,
docker,image-grayscale,5,72,200,26277,4.321300,
docker,image-grayscale,5,73,200,26277,4.139200,
docker,image-grayscale,5,74,200,26277,4.874400,
docker,image-grayscale,5,75,200,26277,4.389200,
docker,image-grayscale,5,76,200,26277,4.169700,
docker,image-grayscale,5,77,200,26277,4.084600,
docker,image-grayscale,5,78,200,26277,4.731900,
docker,image-grayscale,5,79,200,26277,4.168900,
docker,image-grayscale,5,80,200,26277,4.246600,
docker,image-grayscale,5,81,200,26277,3.887500,
docker,image-grayscale,5,82,200,26277,4.143100,
docker,image-grayscale,5,83,200,26277,3.891800,
docker,image-grayscale,5,84,200,26277,3.841200,
docker,image-grayscale,5,85,200,26277,3.955800,
docker,image-grayscale,5,86,200,26277,3.704800,
docker,image-grayscale,5,87,200,26277,3.861100,
docker,image-grayscale,5,88,200,26277,3.907400,
