service,repeat,time_to_health_ms,first_health_request_ms,total_cold_health_ms,notes
docker,1,43,21,497,container=file-tools-bench
docker,2,14,12,283,container=file-tools-bench
docker,3,12,12,296,container=file-tools-bench
docker,4,30,13,300,container=file-tools-bench
docker,5,14,12,264,container=file-tools-bench
