service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
docker,json-to-csv,1,100,100,0,800.8076000005531,124.87393975772824,1.0429,7.95881,2.1163499999999997,21.5822,26.6665,28.4358,30.4417,65
docker,json-to-csv,5,100,100,0,89.89119999750983,1112.4559467753263,1.0735,3.707306,1.48605,13.1768,18.3818,24.5704,25.0315,65
docker,json-to-csv,10,100,100,0,44.611499997699866,2241.574482031672,1.5692,3.8226050000000003,3.28765,5.4648,6.3021,18.1502,19.2069,65
docker,json-to-csv,25,100,100,0,39.06469999856199,2559.855829013946,1.729,5.823614,5.63885,8.642,9.5516,9.9728,10.8859,65
docker,json-to-csv,50,100,100,0,39.842500002123415,2509.882662851741,2.1777,4.436696,4.34825,5.9524,6.3562,7.5262,7.5337,65
