service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
spin,validate-json-schema,1,100,100,0,1183.1538000005821,84.51986546461737,1.4558,11.785419,14.62965,17.5369,24.0169,27.3731,27.5095,35
spin,validate-json-schema,5,100,100,0,106.7070999997668,937.14476356511,0.9407,4.693901,1.8933,15.5691,21.9665,26.1764,27.8692,35
spin,validate-json-schema,10,100,100,0,62.32530000124825,1604.4848560375513,1.7101,4.115677,3.94895,5.307,5.8113,6.4225,23.8218,35
spin,validate-json-schema,25,100,100,0,32.44350000022678,3082.281504748286,2.5094,4.921381,4.65415,6.9026,7.4401,8.554,9.2756,35
spin,validate-json-schema,50,100,100,0,33.530599997902755,2982.3504502232204,2.1862,4.972892,4.75745,6.8765,7.2879,7.9164,18.9372,35
