service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
docker,image-metadata,1,100,100,0,756.0499999999593,132.26638449838686,2.0142,7.516373,2.5005499999999996,20.4252,26.2433,28.1873,28.1974,55
docker,image-metadata,5,100,100,0,129.54899999749614,771.9086986540441,2.0612,6.065774,2.6109,20.55,22.0464,29.272,30.5051,55
docker,image-metadata,10,100,100,0,60.00050000147894,1666.6527778524367,2.8926,5.188929,4.12205,7.675,9.3252,22.9242,26.8038,55
docker,image-metadata,25,100,100,0,65.71309999708319,1521.7665884646851,5.0899,12.855891,12.370999999999999,18.9751,19.7189,28.3389,35.2016,55
docker,image-metadata,50,100,100,0,67.49099999797181,1481.679038731166,5.3262,10.934808,10.47165,14.1204,15.8458,17.5393,19.2867,55
