service,scenario,concurrency,requests,ok,failed,wall_ms,rps,min_ms,avg_ms,median_ms,p90_ms,p95_ms,p99_ms,max_ms,bytes_avg
docker,image-resize,1,100,100,0,2393.548899999587,41.77896678861136,6.2779,23.870428,29.9821,31.8052,32.0493,32.9057,32.9237,22304
docker,image-resize,5,100,100,0,245.74270000084653,406.9296870249066,5.7282,11.887834,8.16055,26.2561,28.8385,32.6377,33.8957,22304
docker,image-resize,10,100,100,0,182.41869999837945,548.1894126034687,6.2547,17.074607,15.537199999999999,24.7927,29.0553,36.4821,37.5926,22304
docker,image-resize,25,100,100,0,182.5447000010172,547.8110292955247,10.7381,37.738371,38.96785,50.6167,53.4981,60.8275,65.1741,22304
docker,image-resize,50,100,100,0,168.3325000012701,594.0623468388189,22.7969,56.467524,55.46515,72.0284,73.7442,78.3781,79.4646,22304
