system,scenario,metric,samples,success_count,error_count,min,mean,median,p50,p95,p99,max,stddev
oci,health_plus_search,ready_ms,20,20,0,19.523,24.941,21.102,20.967,38.700,59.256,59.256,9.286
oci,health_plus_search,search_after_ready_ms,20,20,0,142.407,164.555,144.202,143.831,216.756,415.644,415.644,60.330
oci,health_plus_search,total_cold_path_ms,20,20,0,402.888,518.488,431.771,429.289,854.839,1126.991,1126.991,184.754
oci,health_plus_search,first_search_ms,20,20,0,402.888,518.488,431.771,429.289,854.839,1126.991,1126.991,184.754
spin,health_plus_search,ready_ms,20,20,0,140.723,164.124,145.608,145.398,202.689,419.120,419.120,61.049
spin,health_plus_search,search_after_ready_ms,20,20,0,219.265,233.677,222.550,222.210,264.886,333.715,333.715,26.008
spin,health_plus_search,total_cold_path_ms,20,20,0,363.771,399.506,370.009,369.908,446.347,754.614,754.614,84.387
spin,health_plus_search,first_search_ms,20,20,0,363.771,399.506,370.009,369.908,446.347,754.614,754.614,84.387
